,info,title,advantage,drawback,opinion,promotion,welfaresalary,worklifebalance,culture,executives,total,date,region,workingstatus,department
0,연구개발 | 현직원 | 경기 | 2019/8/24,회사 규모에 비해 체계가 없는 곳 생각보다 연봉수준이 낮을 수 있음 원치않는 일을 오랫동안 하게 될수도 있음,회식분위기 좋은 편 윗사람과 크게 부딪힐 일 없어 일하기 편함 회사 복지 제도 많은 편,PS제외하면 연봉이 높은편이 아니라서 급여 수준이 유동적임 원하지 않는 일을 오래 해야할수도 있음,현재 티오에 맞는 인사제도가 필요할거 같음,4.0,4.0,2.0,3.0,3.0,3.2,2019-08-24 00:00:00, 경기 , 현직원 ,연구개발 
1,생산/제조 | 현직원 | 경기 | 2019/8/24,복지와 급여는 우수하나 교대근무로 인한 불규칙적인 생활이 힘듬,자율출퇴근제 체계적인 업무 시스템 밥 세끼 공짜 적당한 수준의 급여,교대 근무로 인한 불규칙적인 생활 방진복을 매일같이 입어야하는 불편함 높은 업무 강도,인원을 늘려 주 5일 근무체제로 바뀌어야 합니다 주말 이틀 중 하루는 휴식이 보장되길 바랍니다,3.0,4.0,2.0,3.0,3.0,3.0,2019-08-24 00:00:00, 경기 , 현직원 ,생산/제조 
2,엔지니어링 | 전직원 | 경기 | 2019/8/23,젊은사람들과 일하며 함께 도전하는것을 좋아하는 인재들에게는 적합한 직장,항상 현실이 안주하지 않고 발전하려 노력하는 에너지를 가지고 있는 회사임,일이 힘들다보니 다소 경직된 모습이있으며 사람들이 여유가없다,물론 일이 많은 것은 인정하지만 워라밸을 위해 노력해주었으면 좋겠음,3.0,5.0,2.0,3.0,2.0,3.0,2019-08-23 00:00:00, 경기 , 전직원 ,엔지니어링 
3,서비스/고객지원 | 전직원 | 서울 | 2019/8/23,글로벌 회사에서 소중한 경험을 했고 앞으로도 이런일은 없을 수도 있겟지,자율 출퇴근 근무제도 다양하고 편안한 복지 넓은 나만의 장소,나보다 나이 많은 사람들이 많아 의견을 잘 얘기하지 못함,그래도 일하는동안은 만족했고 답답한 마음은 잇엇지만 견딜만 합니다,2.0,4.0,4.0,4.0,3.0,3.4,2019-08-23 00:00:00, 서울 , 전직원 ,서비스/고객지원 
4,인사/총무 | 현직원 | 경기 | 2019/8/23,국내에서 손꼽히는 기업인 만큼 다양한 인재가 모여있는 곳이다,외국계 회사의 복지는 알지 못하지만 뒤쳐지지 않는 복지를 가지고 있다고 생각한다,행정서무 인력을 비효율적으로 2년마다 변경하는 방식이며 몇가지 업무 처리 프로세스가 비효율적으로 운영되고 있다,행정서무 인력이 조금 더 실력을 인정받으면 다른 대우를 받았으면 합니다,2.0,5.0,5.0,4.0,5.0,4.2,2019-08-23 00:00:00, 경기 , 현직원 ,인사/총무 
5,IT/인터넷 | 현직원 | 경기 | 2019/8/21,복지가 좋고 연봉이 높습니다 기업분위기도 좋습니다,식대 하루 세번 무료에 복지가 좋습니다 성과금이 많이 나와서 연봉도 높습니다,단순 보고를 위한 업무가 많아 비효율적입니다 제조회사 프로세스에 최적화되어있어 서비스 업무가 원활하지 않습니다,신규 사업 의지에 적극적인 투자를 지원해줬으면 합니다,4.0,5.0,4.0,3.0,2.0,3.6,2019-08-21 00:00:00, 경기 , 현직원 ,IT/인터넷 
6,영업/제휴 | 전직원 | 경기 | 2019/8/21,시스템으로 모든 것이 돌아가는 회사 시스템은 국내 기업 중에 가장 탄탄한 거 같습니다,삼성이라는 브랜드가 국내외 이직하기에 도움이 많이 됩니다,굉장히 딱딱한 조직문화 상사가 퇴근하기 전에는 집에 갈 생각 못함,조직문화 개선 부조리한 업무 형태 개선,3.0,4.0,1.0,2.0,3.0,2.6,2019-08-21 00:00:00, 경기 , 전직원 ,영업/제휴 
7,연구개발 | 전직원 | 경기 | 2019/8/21,기업 문화가 지속적으로 개선되고 있었으며 연구개발에 대한 대우가 좋음,연차를 윗사람 눈치 안보고 사용했고 기업 문화가 점점 좋아짐,팀바이팀 따라 근무 양이 달라질 수 있으며 부서에 따른 고과 차이도 있음 물론 일반적,지속적으로 합리적인 보상 체계와 근무환경 조성을 해 주시기 바랍니다,3.0,5.0,4.0,4.0,4.0,4.0,2019-08-21 00:00:00, 경기 , 전직원 ,연구개발 
8,엔지니어링 | 현직원 | 경기 | 2019/8/21,돈만큼 일해야합니다 하지만 급여와 복지는 확실합니다,돈은 정말 만족스럽게 주는 게 큰 장점입니다 일이 힘들어도 월급날 보면서 버티고 있습니다 근무는 예전보다 더 나아진건 확실합니다,그치만 그만큼 일이 힘든건 감안 하셔야 합니다 부서마다 아직 수직적 구조가 있는 곳도 아직 있는 것 같습니다,신규 사업 추진에 있어서 조금 더 빠르게 소식을 전해줬으면 좋겠습니다,5.0,5.0,4.0,4.0,4.0,4.4,2019-08-21 00:00:00, 경기 , 현직원 ,엔지니어링 
9,영업/제휴 | 전직원 | 경기 | 2019/8/21,나오면 알게 될 것이다 갓성전자라는 말이 괜히 있는게 아니다,역시 유연근무제 자율출퇴근 다양한 아이디어 제출과 빠른 수렴과 수정과 보완,어딜가나 있는 사내 정치질과 줄서기 근무시간이 부족할 정도의 초과근무,미래 지향적인 아이템에 대해 과감한 투자를 해야할 것 같음 안되겠다 싶으면 인수 합병도 좋은 방법인데 주주들이 싫어하니까 그에 상응하는 게런티를 주는건 어떤지,3.0,5.0,4.0,5.0,2.0,3.8,2019-08-21 00:00:00, 경기 , 전직원 ,영업/제휴 
10,디자인 | 전직원 | 서울 | 2019/8/21,복지 최강 개발자들은 많이 힘들어보이나 디자이너가 다니기에 문제 없고 결혼하고도 다니기 좋은 회사 수원사업장과는 다른 분위기 워라벨 좋음,자유롭고 IT회사의 최대 장점은 다 있습니다 인센 많이 주고요,보고하는 건이 많아 불필요한 시간이 너무 많다 생각합니다,회의 시간을 줄이고 시간을 지켜주셨으면 합니다 간혹 늦게 들어오신적이있으셔서,1.0,5.0,5.0,5.0,1.0,3.4,2019-08-21 00:00:00, 서울 , 전직원 ,디자인 
