,info,title,advantage,drawback,opinion,promotion,welfaresalary,worklifebalance,culture,executives,total,date,region,workingstatus,department
0,서비스/고객지원 | 현직원 | 서울 | 2019/8/23,나이 어리고 버티면 승리하는 회사 일하면서 연차 쌓이면 자연스럽게 승진,소속 브랜드 50프로 할인 매장마다 분위기가 있는데 분위기 좋으면 일하기 좋음,매장 상황상 스텝과 함께 근무 해야하는데 스텝이 무단으로 결근하면 직원이 힘듦 공휴일 대체 휴무 없음,,2.0,2.0,2.0,1.0,2.0,1.8,2019-08-23 00:00:00, 서울 , 현직원 ,서비스/고객지원 
1,영업/제휴 | 현직원 | 서울 | 2019/8/21,첫 회사로는 좋은 회사 대리 이후가 없는 회사 인재 귀한줄 모르는 회사,처음부터 일을 맡아 해볼 수 있음 개인의 능력에 의지하기 때문에 경험실력 쌓기가 좋음,대리 이후 승진 어려움 대부분 기독교전략기획정치가만 가능 인재 귀한줄 모름,연봉 동결 그만하길 직원에게 돌려줘야할 것은 돌려줄것 매출 잘 해도 정당한 보상 없음 승진 경영진만 하지말고 실무자도 시킬 것,1.0,2.0,2.0,2.0,1.0,1.6,2019-08-21 00:00:00, 서울 , 현직원 ,영업/제휴 
2,디자인 | 전직원 | 서울 | 2019/8/15,정직원에 한해서는 대기업이라서 그런지 복지가 좋다 다른 회사들과 차별화된 이랜드만의 시스템과 일하는 방식이 있다,기독교 회사이기 때문에 회식이 없다 회식이 아닌 개인적으로도 회사주변에서 술을 자제하는 분위기라 대부분 식사로 끝나고 집에가서 좋다 직원 교육에 신경을 많이 쓰는 듯하다 다양한 많은 교육을 받았었다,일주일에 한번씩 근무시간 전에 일찍 출근해서 전직원이 예배를드린다 교회목사님도 오시고 찬송도 부른다 기독교인이 아니라면 적응하기 힘든부분이 많다 사간이 많이 지나서 지금도 그런지는 모르겠다,이랜드만의 시스템을 고수하지말고 다른회사들과 맞춰 시스템의 변화를 주는 것도 좋을 것 같다 경력직분들이 오셨을때 다른 시스템으로 적응에 힘들어 한다는 소리를 많이 들었었다,3.0,5.0,3.0,4.0,4.0,3.8,2019-08-15 00:00:00, 서울 , 전직원 ,디자인 
3,마케팅/시장조사 | 전직원 | 서울 | 2019/8/15,하루하루가빡셈업무량이 너무많고 분위기가 험함,인내심을 기를수있으며 똑똑한 사람들에게 배우는것도있다 연봉상승률은 괜찮다,비효율적인 업무 처리방식 수직적 구조와 업무량의 분배 필요성,업무량 조절을 할 필요성,3.0,3.0,2.0,2.0,2.0,2.4,2019-08-15 00:00:00, 서울 , 전직원 ,마케팅/시장조사 
4,디자인 | 현직원 | 서울 | 2019/8/13,삽질 굉장히 많이 하는 곳 업무를 못함,부서마다 다르지만 칼퇴였음 그리고 주변사람들을 보니 휴직이 그나마 자유롭고 재입사도 많음 부서간의 이동도 비교적 쉬운편,너무 쓸데없는 일이 많아 일에 집중을 못함 꼰대가 많음 독후감 써야함,,1.0,2.0,4.0,3.0,1.0,2.2,2019-08-13 00:00:00, 서울 , 현직원 ,디자인 
5,마케팅/시장조사 | 전직원 | 서울 | 2019/8/9, 신입으로 입사해서 경력직으로 나가기 괜찮은 곳  오래 있으면 도태되는 곳, 패션 시장의 변화 및 트렌드에 민감하고 고객의 소리에 집중하여 가치를 만드려 노력함  연봉 높은 편  워라밸 생각보다 지키려 노력함, 일 하는 사람만 하는 구조 그렇다고 일 하는 사람에게 성과나 보상이 돌아가지 않고 입 잘 터는 사람에게만 혜택 주어짐  소통이 안 됨 불통  인사 적체 인사 자체가 말도 안 됨  개인이 회사를 떠받드는 구조  워라밸은 지켜지지만 주말에도 계속 일하는 느낌, 인사 개혁  보상 개혁,1.0,4.0,4.0,2.0,1.0,2.4,2019-08-09 00:00:00, 서울 , 전직원 ,마케팅/시장조사 
6,디자인 | 전직원 | 서울 | 2019/8/6,야근많고 일도많다 복지는 좋았음 하지만 업무량이 정말 많았다,사업기반이 안정적이고 체계적인 조직으로 일이 세분화되어있어서 전문성이 있으며 조직내 이상한 사람은 없었음,연차쓰기 눈치보이고 생각보다 자유로운 분위기는 아님 개인적으로 기독교 문화 좋아했지만 종교적 이념이 다르면 다니기 어려울것같다,직원들의 불만을 듣지만말고 해결해줄 수 있었으면 좋겠다,3.0,4.0,2.0,3.0,2.0,2.8,2019-08-06 00:00:00, 서울 , 전직원 ,디자인 
7,디자인 | 전직원 | 서울 | 2019/7/31,체계가 잘 잡혀있고 시스템은 대형회사다움 트레이닝 시스템이 잘되어있어서 교육을 많이 받음,확실히 회사 돌아가는 시스템이나 직원 트레이닝에대해 체계가 잘 잡혀있어서 기본부터 배울 수 있었음,인원충원이 너무 안됨 혼자서 1인3역을 한다고해도 무방함 그리고 일이 너무 많다보니 야근도 잦음 정말 힘들었음,인원충원에 조금 더 힘써줬음 좋겠고 승진기회가 더 자주 올수있었으면 좋겟다,3.0,3.0,3.0,4.0,3.0,3.2,2019-07-31 00:00:00, 서울 , 전직원 ,디자인 
8,디자인 | 전직원 | 서울 | 2019/7/17,보수적이지만 그렇지 않은 척 하는 편 복지 등이 나쁘지 않다,보수적이지만 대기업이라 그런지 노력하는 편 연차 눈치 안보고 쓸 수 있음 비교적 자유로운 분위기,부서마다 분위기가 많이 다르다 기독교회사라 그런지 비종교인은 가끔 불편할 수 있음 좀 보수적인 분위기 야근하지 말라고 하지만 야근 있음,사내 분위기가 더 자유롭고 활발해지면 좋을 듯 하다,3.0,3.0,2.0,2.0,3.0,2.6,2019-07-17 00:00:00, 서울 , 전직원 ,디자인 
9,마케팅/시장조사 | 현직원 | 서울 | 2019/7/17,모든 것이 빠른 곳 사람도 빨리 바뀌고 목표도 빨리 바뀐다,연차 눈치 안보고 쓸 수 있음 팀마다 다르겠지만 칼퇴많이함,보고 및 피드백을 너무 많이함 보고서쓰다가 하루가 다가는 정도,중장기목표를 가지고 중심을 잡고 회사가 흘러갔으면 좋겠음,3.0,4.0,3.0,2.0,2.0,2.8,2019-07-17 00:00:00, 서울 , 현직원 ,마케팅/시장조사 
10,디자인 | 전직원 | 서울 | 2019/7/15,일은 빡세지만 단기간에 배울 수 있는 곳 빡센 만큼 워라벨은 케바케,기독교 회사라 술 회식이 없다 다양한 사업부가 있어 정 아니다 싶으면 다른 것으로 이동할수 있다,기도타임을 위한 빠른 출근과 야근으로 인한 워라벨이 지켜지지 않는 점 기독교가 아닌 사람들이 공감하기 어려운 일부 문화,직원들의 삶의 질을 지켜주세요 아껴주는 만큼 성장할 사람들이 모여 있습니다,4.0,3.0,1.0,3.0,2.0,2.6,2019-07-15 00:00:00, 서울 , 전직원 ,디자인 
