,AssistingPersonalEducation,PossibleToShowPersonalAbility,CareerDevelopmentPossible,RespectfulExecutive,StableJobSecurity,FairWorkAssignment,PrideTowardCompany,VariousWorkExperience,CapableCoworker,ImageOfMajorCompany,SatisfyingCulture,SatisfyingWelfare,SatisfyingSalary,AdaptingToChange,AdhocraciesCulture,PromisingCompanyFuture,CaringBoss,ParentalLeavePossible,WorkLifeBalance,ExecutiveCommunicationGood,ConvenientLocation,SpontaneousMotivation,FlexibleVacation,FlexibleWorktime,LongTermServicePossible,ProperAmountOfTask,OverallSatisfaction,NiceWorkEnvironment,NiceTeamwork,SystematicTask,ResonableLaborUnion,ProperTreatment,StatusQuo
AssistingPersonalEducation,1.0,0.0,0.15309310892394867,0.0,0.0,0.0,0.0,0.0,0.04508348173337162,0.0,0.08333333333333337,0.20333142711013963,0.05923488777590924,0.11547005383792519,0.10741723110591495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333337,0.12371791482634842,0.0,0.0,0.0,0.04622501635210241,0.0,0.07715167498104591,0.0,0.06454972243679025,0.0
PossibleToShowPersonalAbility,0.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.22086305214969304,0.0,0.0,0.0,0.0725476250110012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CareerDevelopmentPossible,0.15309310892394867,0.125,1.0,0.0,0.0,0.0,0.18870735310601727,0.05330017908890261,0.24847093366840467,0.0790569415042095,0.0,0.09338592095470355,0.1450952500220023,0.03535533905932742,0.15348515337873014,0.0,0.0,0.0,0.0923186182344995,0.125,0.0,0.13363062095621214,0.07654655446197434,0.025253813613805298,0.0,0.0790569415042095,0.06804138174397711,0.11322770341445954,0.0,0.04724555912615336,0.0,0.03952847075210475,0.09805806756909197
RespectfulExecutive,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09016696346674324,0.0,0.0,0.05083285677753491,0.05923488777590924,0.11547005383792519,0.1432229748078866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08247860988423228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16012815380508716
StableJobSecurity,0.0,0.0,0.0,0.0,1.0,0.0,0.048224282217041226,0.0,0.0,0.0,0.18257418583505536,0.19489611623639658,0.0973328526784576,0.18973665961010278,0.11766968108291043,0.07669649888473706,0.0,0.0,0.055048188256318076,0.0,0.0,0.0,0.045643546458763895,0.0,0.18257418583505536,0.07071067811865472,0.0,0.0,0.22360679774997894,0.0,0.0,0.0,0.0
FairWorkAssignment,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1561737618886061,0.0,0.0,0.08804509063256238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrideTowardCompany,0.0,0.0,0.18870735310601727,0.0,0.048224282217041226,0.0,1.0,0.0,0.09526510164590818,0.13639886789409472,0.08804509063256238,0.2416815080328666,0.26598239420481906,0.12199885626608375,0.056745359089315106,0.14794534429106188,0.0,0.0,0.10618637464037983,0.0,0.0,0.11527808354084701,0.06603381797442176,0.13071306028508967,0.0,0.0681994339470473,0.1467418177209373,0.0732579435758256,0.0,0.0,0.08804509063256238,0.0681994339470473,0.1268864803313441
VariousWorkExperience,0.0,0.0,0.05330017908890261,0.0,0.0,0.0,0.0,1.0,0.2825289656088067,0.0,0.0,0.05309318732018986,0.06186882248897463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11396057645963797,0.04351941398892445,0.08614609845078958,0.0,0.0,0.1160517706371319,0.0,0.0,0.161164592805076,0.0,0.0,0.0
CapableCoworker,0.04508348173337162,0.22086305214969304,0.24847093366840467,0.09016696346674324,0.0,0.1561737618886061,0.09526510164590818,0.2825289656088067,1.0,0.0,0.13525044520011487,0.17875432925883694,0.11216162920298789,0.0,0.17433873995086346,0.037877700953928506,0.0,0.0,0.10874544956540744,0.05521576303742326,0.0,0.11805626722019102,0.06762522260005743,0.17848429930126408,0.0,0.034921514788478936,0.06011130897782879,0.07502344849205334,0.0,0.08347838711296818,0.0,0.034921514788478936,0.12994442454726296
ImageOfMajorCompany,0.0,0.0,0.0790569415042095,0.0,0.0,0.0,0.13639886789409472,0.0,0.0,1.0,0.0,0.11812488464372362,0.045883146774112316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06454972243679025,0.0,0.0,0.09999999999999998,0.08606629658238707,0.0716114874039433,0.0,0.0,0.0,0.0,0.0
SatisfyingCulture,0.08333333333333337,0.0,0.0,0.0,0.18257418583505536,0.0,0.08804509063256238,0.0,0.13525044520011487,0.0,1.0,0.20333142711013963,0.11846977555181848,0.057735026918962595,0.10741723110591495,0.07001400420140047,0.20412414523193156,0.0,0.10050378152592121,0.0,0.0,0.10910894511799618,0.0,0.04123930494211614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SatisfyingWelfare,0.20333142711013963,0.0,0.09338592095470355,0.05083285677753491,0.19489611623639658,0.08804509063256238,0.2416815080328666,0.05309318732018986,0.17875432925883694,0.11812488464372362,0.20333142711013963,1.0,0.4245620778830066,0.08804509063256238,0.2511749373153317,0.17083256870359287,0.0,0.08804509063256238,0.15326682995723429,0.15564320159117262,0.06225728063646907,0.0998337488459583,0.2922889264708257,0.2515574018073211,0.05083285677753491,0.1574998461916315,0.22027571270265112,0.2537729606626882,0.06225728063646907,0.21177936240075534,0.05083285677753491,0.11812488464372362,0.14651588715165131
SatisfyingSalary,0.05923488777590924,0.0725476250110012,0.1450952500220023,0.05923488777590924,0.0973328526784576,0.0,0.26598239420481906,0.06186882248897463,0.11216162920298789,0.045883146774112316,0.11846977555181848,0.4245620778830066,1.0,0.1025978352085154,0.1781597336332178,0.07465089026901595,0.0,0.0,0.2678998598884099,0.0,0.1450952500220023,0.07755667343294814,0.19251338527170503,0.0879410016072989,0.05923488777590924,0.18353258709644937,0.21719458851166717,0.115001613554367,0.0725476250110012,0.08226127456606225,0.05923488777590924,0.06882472016116847,0.11382207864489446
AdaptingToChange,0.11547005383792519,0.0,0.03535533905932742,0.11547005383792519,0.18973665961010278,0.0,0.12199885626608375,0.0,0.0,0.0,0.057735026918962595,0.08804509063256238,0.1025978352085154,1.0,0.17364862842489182,0.19402850002906635,0.0,0.0,0.13926212476455824,0.0,0.14142135623730945,0.0,0.11547005383792519,0.11428571428571432,0.0,0.04472135954999579,0.0,0.06405126152203489,0.0,0.0,0.23094010767585038,0.0,0.0
AdhocraciesCulture,0.10741723110591495,0.0,0.15348515337873014,0.1432229748078866,0.11766968108291043,0.0,0.056745359089315106,0.0,0.17433873995086346,0.0,0.10741723110591495,0.2511749373153317,0.1781597336332178,0.17364862842489182,1.0,0.09024852563942809,0.08770580193070288,0.0,0.08636670341750607,0.2192645048267573,0.0,0.0937614461876991,0.16112584665887242,0.2835079647753336,0.0,0.0,0.1432229748078866,0.15889162445979144,0.08770580193070288,0.03314967720658979,0.0,0.05547001962252296,0.1720052290384454
PromisingCompanyFuture,0.0,0.0,0.0,0.0,0.07669649888473706,0.0,0.14794534429106188,0.0,0.037877700953928506,0.0,0.07001400420140047,0.17083256870359287,0.07465089026901595,0.19402850002906635,0.09024852563942809,1.0,0.0,0.0,0.08444006618414979,0.0,0.0,0.0916698497028211,0.07001400420140047,0.06929589286752369,0.0,0.054232614454664096,0.04667600280093365,0.038836781869030834,0.0,0.0,0.0,0.0,0.0
CaringBoss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193156,0.0,0.0,0.0,0.08770580193070288,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ParentalLeavePossible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08804509063256238,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.14433756729740643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WorkLifeBalance,0.0,0.0,0.0923186182344995,0.0,0.055048188256318076,0.0,0.10618637464037983,0.0,0.10874544956540744,0.0,0.10050378152592121,0.15326682995723429,0.2678998598884099,0.13926212476455824,0.08636670341750607,0.08444006618414979,0.0,0.0,1.0,0.0,0.1230914909793327,0.06579516949597686,0.07537783614444094,0.12434118282549844,0.0,0.15569978883230462,0.0,0.027874733666903073,0.0,0.0465242105199235,0.10050378152592121,0.0,0.0
ExecutiveCommunicationGood,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.05521576303742326,0.0,0.0,0.15564320159117262,0.0,0.0,0.2192645048267573,0.0,0.0,0.0,0.0,1.0,0.0,0.13363062095621214,0.15309310892394867,0.15152288168283157,0.0,0.0790569415042095,0.0,0.0,0.0,0.0,0.0,0.0,0.09805806756909197
ConvenientLocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06225728063646907,0.1450952500220023,0.14142135623730945,0.0,0.0,0.0,0.0,0.1230914909793327,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SpontaneousMotivation,0.0,0.0,0.13363062095621214,0.0,0.0,0.0,0.11527808354084701,0.11396057645963797,0.11805626722019102,0.0,0.10910894511799618,0.0998337488459583,0.07755667343294814,0.0,0.0937614461876991,0.0916698497028211,0.0,0.0,0.06579516949597686,0.13363062095621214,0.0,1.0,0.0,0.053994924715603854,0.0,0.0,0.07273929674533075,0.06052275326688028,0.0,0.0,0.0,0.0,0.20965696734438366
FlexibleVacation,0.20833333333333337,0.0,0.07654655446197434,0.0,0.045643546458763895,0.0,0.06603381797442176,0.04351941398892445,0.06762522260005743,0.06454972243679025,0.0,0.2922889264708257,0.19251338527170503,0.11547005383792519,0.16112584665887242,0.07001400420140047,0.0,0.14433756729740643,0.07537783614444094,0.15309310892394867,0.0,0.0,1.0,0.18557687223952257,0.0,0.06454972243679025,0.05555555555555558,0.06933752452815367,0.0,0.23145502494313797,0.0,0.0,0.08006407690254358
FlexibleWorktime,0.12371791482634842,0.0,0.025253813613805298,0.08247860988423228,0.0,0.0,0.13071306028508967,0.08614609845078958,0.17848429930126408,0.0,0.04123930494211614,0.2515574018073211,0.0879410016072989,0.11428571428571432,0.2835079647753336,0.06929589286752369,0.0,0.0,0.12434118282549844,0.15152288168283157,0.0,0.053994924715603854,0.18557687223952257,1.0,0.0,0.06388765649999395,0.10997147984564304,0.13725270326150318,0.0,0.03818017741606061,0.0,0.031943828249996975,0.11886432776254907
LongTermServicePossible,0.0,0.0,0.0,0.0,0.18257418583505536,0.0,0.0,0.0,0.0,0.0,0.0,0.05083285677753491,0.05923488777590924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
