,info,title,advantage,drawback,opinion,promotion,welfaresalary,worklifebalance,culture,executives,total,date,region,workingstatus,department
0,생산/제조 | 전직원 | 울산 | 2019/8/26,돈 많이주는데는 이유가 있습니다 명실상부 대한민국 최강,갑 중에 슈퍼 갑입니다 명실상부 대한민국 최강이며 나라를 먹여살린다고 해도 무방,품질관련해서 굉장한 노력을 쏟고 있지만 과거 저급품질 및 쉐슬람들이 긁어놓은 이미지가 워낙 큼,노조는 정신차릴려면 한참 멀었습니다 철퇴를 가해주세요,5.0,5.0,5.0,5.0,5.0,5.0,2019-08-26 00:00:00, 울산 , 전직원 ,생산/제조 
1,생산/제조 | 현직원 | 울산 | 2019/8/26,대기업 하면 떠오르는 대표적인 기업이자 흔히 생각하는 대기업의 안좋은 문화의 근원이라고 볼 수 있는 기업이지만 이제는 점점 바뀌고 있다는게 체감될 정도로 좋은 기업,명실상부 대표 노조를 바탕으로 조합원 시절에 누릴 수 있는 최고의 권리를 느낄 수 있고 정년에 대한 보장 실적에대한 압박도 부서에 따라 다르겠지만 본인이 편하고자하면 낮은 업무 강도와 함께 왠만한 공무원 보다 안정된 직장을 가질 수 있다,확실히 차를 문서로 만드는 게 사실이다 많이 변하고 있지만 아직 변해야할 점이 많긴 하다,오래오래 망하지않고 더 잘나가서 돈 많이 벌게 해주세요,4.0,5.0,5.0,4.0,4.0,4.4,2019-08-26 00:00:00, 울산 , 현직원 ,생산/제조 
2,금융/재무 | 전직원 | 서울 | 2019/8/23,한국을 대표하는 기업 세계적인 오토메이커 누구에게든 자부심을 선사하는 그 이름 현대자동차 나의 열정과 능력을 기꺼이 바쳐볼만한 기업,일사분란하고 집중되어있는 업무체계와 효율성 국내 최고수준의 급여 최근들어 워라밸을 추구하는 분위기로 인해 복리후생에 대한 만족도가 높아지고 회사생활이 편해짐 뛰어난 능력의 동료들 밝은 기업의 미래,다소 경직되어 있고 수직적인 상하관계 답답하게 느껴질 때가 있으며 스트레스의 요인이된다 줄어드는 추세지만 다소 긴 근무시간,젊은 직원들의 말에 귀기울여주셨으면 하는 바람이 있다,3.0,3.0,4.0,3.0,2.0,3.0,2019-08-23 00:00:00, 서울 , 전직원 ,금융/재무 
3,IT/인터넷 | 전직원 | 서울 | 2019/8/23,서버관리쪽 환경과 복지 모두 만족합니다,전체적인 기업의 장점은 다 가지고 있습니다 복지면 복지 탄탄한 재정상태 등등 일 하는 환경 또한 우수해서 아래 나열한 단점을 제외하고는 완벽한 기업입니다,대기업의 어쩔 수 없는 보고서 작성 체계때문에 일 효율성이 떨어지는 경우가 있습니다,나날이 갈수록 네트워크 보안쪽의 중요성이 높아지는만큼 다욱 많은 관심을 주셨으면 합니다,5.0,5.0,5.0,5.0,5.0,5.0,2019-08-23 00:00:00, 서울 , 전직원 ,IT/인터넷 
4,경영/기획/컨설팅 | 전직원 | 서울 | 2019/8/22,적당히 일하고 많이받을 수 있는 회사 그것이 당신이 원하는 것이라면,우리나라 자동차 1위 기업 노조가 잘 형성되어 있다 높은 임금,수직적인 문화 남초로 비롯되는 듯하다 서서히 나아지고 있긴 하다,젊은층들이 원하는점이 잘 반영이 안되는데 이것이 좀 더 해결되길 바란다,4.0,4.0,4.0,3.0,3.0,3.6,2019-08-22 00:00:00, 서울 , 전직원 ,경영/기획/컨설팅 
5,생산/제조 | 전직원 | 울산 | 2019/8/21,계약직으로써 큰 목돈이 필요하다면 편하고 많이 버는 곳은 이만한 곳이 없다,월차 자유계약 시 중요도가 있긴 함 일의 강도 쉬움누구나 할 수 있음 장점인지 단점인지 모르겠으나 개인주의라 할 일만 잘하면 됨,계약직들은 정직원들과 다소 차이가 나는 대우가 몇 가지 존재함 그 외에 딱히 단점 없음,계약직도 정직원으로 갈 수 있는 조금의 길을 만들어주면 좋을 듯,1.0,4.0,5.0,4.0,3.0,3.4,2019-08-21 00:00:00, 울산 , 전직원 ,생산/제조 
6,영업/제휴 | 현직원 | 전남 | 2019/8/20,연봉 근무조건 복지 탁월함 그러나 윗사람들이 올드하고 고지식함,쉬는날 많음 연봉이 진짜 높은 2년차에 연봉1억 넘었음,지역안옮겨줌 잘해도 지역 안옮겨줌 꼰대가 많음 군대문화조금있음 대형차 품질이 너무 안좋음,지역좀옮겨주세요ㅠ 잘하는 직원 이야기 좀 귀기울여주세요ㅠㅠㅠ,4.0,5.0,5.0,3.0,3.0,4.0,2019-08-20 00:00:00, 전남 , 현직원 ,영업/제휴 
7,생산관리/품질관리 | 전직원 | 대구 | 2019/8/20,출고장 아르바이트 경험으로 택배 상하차 보다 힘듬 완전힘듬 힘듬,아르바이트 치고도 높은 급여로 다른아르바이트 보다 좋았습니다 그거뺴고는 다 별로였습니다,높은 급여로 다니기 좋았습니다 출퇴근 통근차로 거리가 좀있었지만 그래도 출퇴근 시간이 1시간 정도 로 멀었습니다,딱히 바라는건 없습니다 근로시간만 정확히 해주시면 됩ㄴ디ㅏ,1.0,3.0,3.0,2.0,2.0,2.2,2019-08-20 00:00:00, 대구 , 전직원 ,생산관리/품질관리 
8,생산/제조 | 현직원 | 울산 | 2019/8/16,국내 1위 자동차 기업으로서 여전히 동종업계 최상위권 연봉이라는 사실은 변하지 않는다,국내 1위 자동차 기업의 자부심을 느낄 수 있음 부서 분위기가 최근 많이 변한 것이 느껴짐,회사는 바뀌려고 노력 중이지만 변하지 않는 노사 갈등 문제는 여전히 존재한다,끊임없는 내부 문화와 기술혁신을 통해서 현대자동차의 미래가 밝으면 좋겠다,5.0,5.0,5.0,5.0,5.0,5.0,2019-08-16 00:00:00, 울산 , 현직원 ,생산/제조 
9,마케팅/시장조사 | 현직원 | 서울 | 2019/8/15,변화에 대응하려는 움직임이 활발해지고 있는 것이 느껴지지만 아직 많은 기업들 대비 그 움직임이 많이 뒤쳐져 있다는 느낌 지금 당장 안정적으로 다니기에는 좋은 회사,휴가가 많고 자유롭게 사용 가능 자율근무제 자율복장 도입으로 분위기도 많이 자유로워지고 있고 근무환경도 계속 개선되고 있는 편,팀 별 개인 별 일의 분배가 잘 안 되는 것 같음 어디가나 그럴 수 있겠지만 일이 몰리는 곳은 따로 있고 다른 쪽에서는 일이 없어서 노는 사람들도 많음 인력 운영 및 업무 분장 면에서 개선이 필요해보임 또한 조금씩 개선되고 있지만 비효율적 보고 방식이 업무 로드를 과중시키기도 함,미래에 대한 현실적이고 와닿는 비전으로 회사를 이끌어가주셨으면 좋겠습니다,3.0,3.0,3.0,4.0,2.0,3.0,2019-08-15 00:00:00, 서울 , 현직원 ,마케팅/시장조사 
10,경영/기획/컨설팅 | 현직원 | 해외 | 2019/8/14,최근 들어 조직 문화 개선을 위해 많은 노력을 기울이고 있으나 아직도 관료적이고 다양한 업무를 해볼 기회가 많지 않은 기업,상대적으로 타 대기업에 비해 근속년수가 긴 점이 장점이었으나 요즘 많이 희석되어 가는 분위기,근속년수가 길다는 점 지나친 경쟁주의와 성과주의는 아니라는 점,,2.0,3.0,3.0,3.0,2.0,2.6,2019-08-14 00:00:00, 해외 , 현직원 ,경영/기획/컨설팅 
