,AssistingPersonalEducation,PossibleToShowPersonalAbility,CareerDevelopmentPossible,,StableJobSecurity,FairWorkAssignment,PrideTowardCompany,VariousWorkExperience,CapableCoworker,ImageOfMajorCompany,SatisfyingCulture,SatisfyingWelfare,SatisfyingSalary,AdaptingToChange,AdhocraciesCulture,HighChanceOfPromotion,PromisingCompanyFuture,CaringBoss,ParentalLeavePossible,WorkLifeBalance,ConvenientLocation,SpontaneousMotivation,FlexibleVacation,FlexibleWorktime,LongTermServicePossible,ProperAmountOfTask,OverallSatisfaction,NiceWorkEnvironment,NiceTeamwork,SystematicTask,ProperTreatment,StatusQuo
AssistingPersonalEducation,1.0,0.2357022603955159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2357022603955159,0.0,0.0,0.0,0.14213381090374033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15430334996209194,0.0,0.0
PossibleToShowPersonalAbility,0.2357022603955159,1.0,0.15430334996209194,0.0,0.0,0.0,0.0,0.05103103630798289,0.0,0.0,0.08006407690254358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05025189076296066,0.0,0.28867513459481287,0.06622661785325223,0.0,0.0,0.0,0.0,0.0,0.0,0.10910894511799618,0.0,0.1290994448735806
CareerDevelopmentPossible,0.0,0.15430334996209194,1.0,0.0,0.0,0.0,0.0,0.28347335475692037,0.0,0.0,0.07412493166611012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0465242105199235,0.0,0.0,0.0,0.080582296402538,0.0,0.0,0.0,0.0,0.11952286093343933,0.0,0.0,0.0
,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5773502691896258,0.1561737618886061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StableJobSecurity,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08838834764831849,0.0,0.0,0.0,0.05976143046671967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0870388279778489,0.08838834764831849,0.0,0.057353933467640394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FairWorkAssignment,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2357022603955159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44721359549995787,0.0,0.0,0.0
PrideTowardCompany,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.09622504486493766,0.0,0.11322770341445954,0.048795003647426616,0.0,0.0,0.06375767130633381,0.0,0.0,0.0,0.0,0.0,0.2165063509461097,0.0,0.04682929057908469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VariousWorkExperience,0.0,0.05103103630798289,0.28347335475692037,0.0,0.08838834764831849,0.0,0.0,1.0,0.0,0.0,0.04902903378454604,0.14790199457749043,0.06681531047810607,0.0,0.0,0.0,0.10206207261596578,0.0,0.0,0.030772872744833202,0.0625,0.0,0.06083303292403597,0.0,0.0,0.0,0.0,0.0,0.0790569415042095,0.0,0.0,0.0
CapableCoworker,0.0,0.0,0.0,0.0,0.0,0.2357022603955159,0.09622504486493766,0.0,1.0,0.0,0.06537204504606131,0.08451542547285162,0.08908708063747484,0.0,0.11043152607484652,0.0,0.13608276348795434,0.0,0.0,0.0,0.125,0.0,0.08111071056538122,0.0,0.0,0.0,0.0,0.0,0.21081851067789192,0.08908708063747484,0.13608276348795434,0.10540925533894596
ImageOfMajorCompany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
