,info,title,advantage,drawback,opinion,promotion,welfaresalary,worklifebalance,culture,executives,total,date,region,workingstatus,department
0,디자인 | 전직원 | 서울 | 2019/8/24,개인이 스스로 배우며 성장할 수 있는 곳입니다,복지가 좋은 편에 속하고 연봉이 타 회사에 비해 높은 편입니다,보고를 위한 문서 작업이 많습니다 불필요한 문서 작업은 줄일 필요가 있겠습니다,,4.0,5.0,4.0,5.0,2.0,4.0,2019-08-24 00:00:00, 서울 , 전직원 ,디자인 
1,IT/인터넷 | 전직원 | 서울 | 2019/8/23,첫 직장으로 개인적으로 좋은 경험을 쌓았던 것 같다,자유로운 근무 분위기가 아주 좋았던 것 같습니다 개인적인 성장에도 큰 도움을 받았습니다,결과적인 성공으로 인하여 중간 과정에서 실패가 나중에 미화 되는 것,안주하려는 모습보다는 늘 도전하는 모습을 보여주었으면 좋겠습니다,5.0,5.0,4.0,5.0,4.0,4.6,2019-08-23 00:00:00, 서울 , 전직원 ,IT/인터넷 
2,서비스/고객지원 | 전직원 | 서울 | 2019/8/21,다양한 환경을 경험할 수 있다 좋은 근무환경이다,복지가 좋고 상하관계가 좋다 좋은 환경에서 좋은 커리어 쌓을 수 있다,일이 많다 업무가 많아서 스트레스 받는것 밖에 없다,합리적인 보상 및 복지체제를 마련해주었으면 한다,4.0,4.0,4.0,4.0,4.0,4.0,2019-08-21 00:00:00, 서울 , 전직원 ,서비스/고객지원 
3,IT/인터넷 | 전직원 | 해외 | 2019/8/21,일은 많지만 배울 수 있는 곳 복장이나 사내분위기도 자유로운편,개인주의임 다른 사람들이랑 하루에 다섯마디도 안하고 일하기 가능,탄력근무제라 출근은 자유로운편이지만 일이 밀리면 속절없이 야근 인턴직임에도 불구하고 꽤 많이 했음,딱히 없음 복지도 잘 되어있고 사내분위기도 좋은편이라 생각,3.0,4.0,3.0,5.0,4.0,3.8,2019-08-21 00:00:00, 해외 , 전직원 ,IT/인터넷 
4,IT/인터넷 | 전직원 | 경기 | 2019/8/20,모두가 빡세게 일하는 곳 그만큼 실력은 늘겠으나 정신적 피로도가 높은 곳,국내 최고 IT기업답게 모든 기기 및 물품을 지원해 줌 모든 종류의 핸드폰이 있어 테스트해볼 수 있는 점이 인상적이었음,셀마다 분위기는 다르나 대체적으로 개인주의가 강한 편 장점일수도 있으나 인턴에게는 회사에 적응하는데 다른 기업보다 시간이 더 걸렸던 편 인턴도 해야할 일이 있으면 집에 가지 못함,다양한 BM을 개발하고자 의지는 강하나 아직 뚜렷한 미래 발전 가능성을 보여주지 못하고 있는 듯함,3.0,4.0,2.0,3.0,3.0,3.0,2019-08-20 00:00:00, 경기 , 전직원 ,IT/인터넷 
5,경영/기획/컨설팅 | 현직원 | 경기 | 2019/8/19,국내 최고의 포털 업체 신입이나 주니어가 업무 경험 쌓기엔 매우 좋은환경,복리후생 좋음 곧 육아휴직 2년으로 됨 신입이나 주니어가 업무 경험 쌓고 배우기엔 매우 좋은환경,경영진의 의사결정이 불분명함 혁신과는 다소 거리가 먼 전략이나 방향들,명확한 의사결정이 필요합니다,4.0,4.0,5.0,4.0,1.0,3.6,2019-08-19 00:00:00, 경기 , 현직원 ,경영/기획/컨설팅 
6,IT/인터넷 | 현직원 | 경기 | 2019/8/14,잘하는 사람이 많아 성장하기 좋고 복지 좋다 부모님의 자랑이 된다,개발자가 일하기 좋은 환경 좋은 복지 사람들도 대부분 좋다 구내식당 맛있고 저렴함 출퇴근 자유롭고 사내 세미나 스터디 활발하다 연봉도 나쁘지 않은 수준인 것 같다,위에서 실적압박이 있다보니 업무강도는 좀 있는 편 경영진에 대해 내부에서 불만이 좀 있는 것 같다,사업이 잘되면 함께 고생한 직원들에게도 보상이 돌아갔으면 좋겠습니다,4.0,5.0,4.0,5.0,3.0,4.2,2019-08-14 00:00:00, 경기 , 현직원 ,IT/인터넷 
7,IT/인터넷 | 전직원 | 서울 | 2019/8/12,워라밸보다는 개인의 경력 또는 이직을 위해 있으면 좋을 곳 일이 많지만 그만큼 많은 것을 배울 수 있어서 좋았음,수평적인 사무실 분위기 회의할 때 개인의 의견을 원활히 표현하고 그만큼 수용도 잘 되는 기업인듯,일이 많아서 체력적으로 힘들 때가 많이 있었지만 그만큼 보람있었음,워라벨을 충족시켜주면 좋겠고 개인의 역량을 충분히 발휘할 수 있었으면 좋겠음,4.0,3.0,3.0,4.0,4.0,3.6,2019-08-12 00:00:00, 서울 , 전직원 ,IT/인터넷 
8,경영/기획/컨설팅 | 전직원 | 경기 | 2019/8/5,여러가지 기회가 있는 곳 이었음 최근 안좋은 이야기도 많이 들립니다 망해도 부자는 3년 간다고,안정된 급여 좋은 복지 점점더 근로자들의 입김이 강해지는 것 같습니다,워크 홀릭들도 많음 최근은 방향을 못잡는것 같고 특히 윗 레벨에서 실력있는 분들이 없어진 느낌,보다 디테일을 챙겨서 과거의 영광을 찾을 수 있고 내부 인력들에 대한 신뢰를 높여서 좋은 사람들이 성공하는 문화를,3.0,4.0,3.0,4.0,2.0,3.2,2019-08-05 00:00:00, 경기 , 전직원 ,경영/기획/컨설팅 
9,IT/인터넷 | 전직원 | 서울 | 2019/8/3,사람 대우를 받으며 일할 수 있는 곳 연차사용이 자유로우며 회사 자체 분위기도 밝아 재미있게 일할 수 있는 곳이다,연차사용이 자유로운 점 난 이 부분이 가장 큰 장점이라고 생각한다,빠른 칼퇴를 회사에서 하라고 권유를 하지만 일이 많아 퇴근을 빠르게 못해 눈치가 보인다,일은 적게 월급이 늘어나는건 바라지 않습니다 그냥 일이 적었으면,5.0,5.0,3.0,4.0,3.0,4.0,2019-08-03 00:00:00, 서울 , 전직원 ,IT/인터넷 
10,IT/인터넷 | 전직원 | 경기 | 2019/8/2,다양한 개발환경 체험을 통한 커리어 쌓기,업무 분담이 비교적 잘 되어있으며 연월차를 비교적 눈치안보고 쓸수있음,대기업에 비하여 상대적으로 낮은 급여 빈둥거리는 사람이 많다,직원의 불만사항을 적극 수용할 수 있는 회사가 되었으면 함,2.0,3.0,3.0,4.0,3.0,3.0,2019-08-02 00:00:00, 경기 , 전직원 ,IT/인터넷 
