,info,title,advantage,drawback,opinion,promotion,welfaresalary,worklifebalance,culture,executives,total,date,region,workingstatus,department
0,금융/재무 | 현직원 | 서울 | 2019/8/24,편하지만 경력개발이불가함 발전이없음 회사든 개인이든 그냥 머물러있는곳임,연차자유롭고 휴가많음 타회사에비해 업무강도낮음 외국계느낌도 있기는 있음 휴가많은게 제일장점임,열정이다들없음 경력개발불가 배울수있는것도 적음 기업내부가 고인물느낌이너무큼 실무자들중에 능력있는사람은 나감 남아있는사람들은 본인 위치에만족해서발전없음,,2.0,2.0,4.0,3.0,1.0,2.4,2019-08-24 00:00:00, 서울 , 현직원 ,금융/재무 
1,생산/제조 | 전직원 | 부산 | 2019/8/22,일은 정말 쉽습니다 너무 쉬워요 최고에요 할 거 없으면 가서 일하세요,연차를 윗 사람 눈치 안보고 사용 가능합니다 쉬고 싶을 때 쉬세요 그냥 돈 많이 줘요 복지가 짱이에요 가서 일 하세요,단점은 새벽에 일어나서 일 가야 합니다 정말 재미 없어요 진짜루,월급 좀 더 주고 필요한 재료랑 많이 좀 잘 가져다 주십쇼 장갑 한번씩 부족해서 맨손으로 일했네요,1.0,5.0,3.0,2.0,3.0,2.8,2019-08-22 00:00:00, 부산 , 전직원 ,생산/제조 
2,생산/제조 | 전직원 | 부산 | 2019/7/30,일한만큼 많이 받을수 있는 곳 성과금과 수당이 잘나오는편,출퇴근 통근버스가 아주 잘돼있고 식당 밥 종류가 2가지인데 둘다 맛은 좋다,라인타야하는게 시간과의 싸움이다 아무생각없이 계속 라인타다 보면 시간 ㄹㅇ 안간다,,3.0,3.0,2.0,4.0,2.0,2.8,2019-07-30 00:00:00, 부산 , 전직원 ,생산/제조 
3,생산관리/품질관리 | 전직원 | 경기 | 2019/7/29,신입에게는 배울게 많은 회사임 대기업의 복지와 연봉은 나쁘지않음,다양한 복지와 업무를 경험할수 있음 다만 몇몇의 직장내 어려운 분위기가 단단하게 형성되어 있음 케바케,외국계라고 하기 어려운 보수적인 느낌이 있음 몇몇의 부서는 상사눈치를 많이봄,보다 생산직 및 현장직원들에게 귀를 귀울여 주세요,3.0,4.0,3.0,4.0,2.0,3.2,2019-07-29 00:00:00, 경기 , 전직원 ,생산관리/품질관리 
4,생산/제조 | 현직원 | 경기 | 2019/7/20,프랑스 식민지 투자없이 버티는중 좋은회사는 아님,연차가 자유로워 휴가를 길게는 3주 쉬는사람도 많음 부바부이나 비교적 업무강도가 약한편,야근수당 없음 연봉인상 없음 진급해도 연봉인상 티도안남 비전이 없어 퇴사러쉬중,,4.0,2.0,4.0,3.0,1.0,2.8,2019-07-20 00:00:00, 경기 , 현직원 ,생산/제조 
5,인사/총무 | 전직원 | 경기 | 2019/6/26,많은 휴가를 즐기고싶다면 좋아요 계약직이라면 자기개발에 힘쓰세요,연차 맘대로 쓸수있어요 사내 복지시설은 좋습니다 카페도 쌉니다,적은돈으로 많은 일을 시킬려고해요 돈도적은데 휴가는길어 어디 가지도못하고 그것도 따분해요,계약직에대한 복지도 대기업이라면 어느정도 신경써주었으면 좋겠습니다,1.0,1.0,1.0,3.0,1.0,1.4,2019-06-26 00:00:00, 경기 , 전직원 ,인사/총무 
6,생산/제조 | 전직원 | 부산 | 2019/6/26,워라밸은 좋으나 노조로인한 스트레스가 만만치 않음,해외를 기반으로 한 기업이므로 퇴근시간이 비교적 널널한편,업무강도가 약하다곤 할수 없음 일은 좋으나 기타적인 스트레스가 많음,외국기업이다보니 한국문화를 더 알았으면 좋겠다,3.0,5.0,5.0,3.0,3.0,3.8,2019-06-26 00:00:00, 부산 , 전직원 ,생산/제조 
7,엔지니어링 | 현직원 | 경기 | 2019/6/25,외국계회사가 10년을 넘어가면서 장점을 잃어버리고 한국회사도 아닌 어정쩡한 회사가 되었다,분위기에 잘 적응하고 적당한 반항심을 갖고 행동하면 워라벨을 맛볼수있다,능력있는 사람들의 능력을 못 끌어내고있다전형적인 을로써 일하고 있다,,1.0,1.0,1.0,1.0,1.0,1.0,2019-06-25 00:00:00, 경기 , 현직원 ,엔지니어링 
8,연구개발 | 현직원 | 경기 | 2019/6/22,연봉은 정체되어 있고 쉬는 날이 많음 워라밸은 좋음,연차가 많은 편 부바부이지만 플렉서블 타임도 자유로움 프랑스 파견 기회가 꽤 있음,대학동기들과의 연봉 격차가 점점 커지고 있음 점점 담당자가 자주 바뀌어 이력관리가 잘 안되는 상황ㅠ,신규 개발 차종 비전,4.0,3.0,4.0,4.0,2.0,3.4,2019-06-22 00:00:00, 경기 , 현직원 ,연구개발 
9,인사/총무 | 전직원 | 서울 | 2019/6/21,무난하게 근무할 수 있는 곳 업무가 과중하지 않고 적당함,연차 사용 문제 없음 정시 퇴근 가능 대부분의 업무가 근무 시간내에 끝나 야근 없음,연봉이 적다고 생각함 사무 인력이 자주 바뀌어 업무에 대한 책임감이 하락함,예산 관련된 사무직의 경우 계약직이 아니라 정규직으로 채용했으면 함,3.0,3.0,4.0,3.0,3.0,3.2,2019-06-21 00:00:00, 서울 , 전직원 ,인사/총무 
10,연구개발 | 현직원 | 경기 | 2019/6/21,자유로운 기업문화 많은 휴가 완성차 기준 낮은 연봉,자유로운 기업 문화  여름휴가 2주  겨울휴가 1주  많은 연차 휴가 전부 사용  부드러운 상하 관계,동종 대기업 대비 상대적으로 낮은 연봉  외벌이는 어려움,동종 대기업 수준의 기본급 만이라도 맞춰 주시길 간곡히 바랍니다,2.0,2.0,4.0,4.0,2.0,2.8,2019-06-21 00:00:00, 경기 , 현직원 ,연구개발 
11,생산/제조 | 전직원 | 부산 | 2019/6/16,일은 힘들지 않지만 정규직으로 전환이 잘 되지않는다,부산에 있고 통근버스를 운행하며 그렇게 힘들지 않은 근무강도,계속 계약직으로 사람을 써서 정규직 전환이 거의 되지않아 미래가 안보인다,정규직을 많이 뽑아서 계약직을 정규직으로 전환을 해주었으면 좋겠습니다ㅣ;,1.0,3.0,3.0,3.0,3.0,2.6,2019-06-16 00:00:00, 부산 , 전직원 ,생산/제조 
12,연구개발 | 전직원 | 경기 | 2019/6/12,연봉낮은 것보다 탈출 못한 고인물들의 횡포와 갑질이 상상을 초월하는 곳,프리미엄 휴가 제공 그러나 이것도 선지급이라는 사실은 함정 미리 사용 시 퇴사할 때 뱉어야하는데 알려주지 않는다,1 압도적으로 낮은 연봉 전 직급이 업계 최하위 2 썩은 물이 넘쳐 흐를 정도의 고인물 괜찮고 능력있는 자는 거의 대부분 곧 퇴사하므로 결국 남은 고인물들의 수준을 유추 가능 3 정치질 심함 4 견제도 심함 성장은 커녕 업무 협조조차 기대 불가 5 비상식적인 인사평가 6 퇴사할 때 조차 상상을 초월하는 조직문화 경험 한국 직장 생활의 상식을 기대하면 안됨 그 외 외국계 회사로서의 단점 다수,외국인 경영진에게는 기대할 것이 없음,1.0,1.0,2.0,1.0,1.0,1.2,2019-06-12 00:00:00, 경기 , 전직원 ,연구개발 
13,연구개발 | 현직원 | 경기 | 2019/6/5,월급이 너무 짬 짝수달은 최저임금 미달 6년차인 나의월급은 홀수달270 짝수달 160 연봉 인상율은 오히려 떨어지고 있음 그렇다고 워라밸이 있는것도 아님,자기 일만 잘하면 문제삼지 않음 회식하지 않음 회식비가 없음,경력으로온지 2년됬음 연봉계약서보다 약 1300만원 적음 이유 설명 없음 1년간 기다리면 맞춰진다고 함 2년됐는데 오히려 연봉이 떨어짐 나뿐만 아니라 연봉계약 맺은 사람들은 심각하게 노동부에 진정서 넣을까 생각중  일을 어떻게하면 넘길까만 고려함 쓸데없는 프로세스 많음 프랑스 파견자와의 임금격차 복리수준 무능한 윗선이 너무 많음,월급을 올려달라는 말은 안한다 연봉계약서를 썼으면 무슨이유가 있던지 기본 월급은 맞춰줘야 하는거 아닌가,1.0,3.0,3.0,4.0,1.0,2.4,2019-06-05 00:00:00, 경기 , 현직원 ,연구개발 
14,생산/제조 | 전직원 | 부산 | 2019/6/1,부산 최대 자동차 공장이라고 자부하며 그만큼 복지 시스템이나 시간적 여유가 많음,사람들이 좋은분들이많음일하는것 적응되면 편함복지는 좋은편임야근도 하지만 시간적 여유가 있으며 자기 개발이 가능해짐,불안정한곳임 내미래를 책임질수 있을지 의문임 그것말고는 단점이 없는듯 하며 운이좋으면 진짜로 좋은면 발탁될수도 있다고 생각함,,1.0,5.0,5.0,5.0,4.0,4.0,2019-06-01 00:00:00, 부산 , 전직원 ,생산/제조 
15,영업/제휴 | 전직원 | 서울 | 2019/5/29,본인들은 엄청 좋다고 생각할지 모르겠으나 이직 안하는 사람은 뭔가 문제가 있음이 분명,그렇게 뛰어난 장점이 없어도 살아남을 수 있다는점 그냥저냥 눈치보면서 오래다닐수는 있는 회사 그 이상 그 이하도 아님,윗선에 눈치만 잘보면 살아남을 수 있는 회사 부산공장 노조들 왜 안자르는지 모르겠다 영업현장과 부산노동자들 괴리 엄청 심함 노조 하는거 없으면서 돈만 더 받으려함,그냥 한국 철수 할꺼면 하고 물량 배정할거면 하고 노조 죽일거면 확 죽이고 회사가 나아갈 노선을 정하시길 곧 gm꼬라지 날듯,1.0,1.0,1.0,1.0,1.0,1.0,2019-05-29 00:00:00, 서울 , 전직원 ,영업/제휴 
16,유통/무역 | 전직원 | 서울 | 2019/5/29,직급이 낮아도 대우 및 인정받으며 성장 할 수 있는 회사,부서간 협력이 잘 되고 가족같은 분위기 및 사람들이 좋다,직원들에 대한 복지가 약하다 출근이 빨라 장거리 출근시 힘들었다,워라밸 라이프 및 직원들에 대한 다양한 복지제도가 있었으면 좋겠습니다,3.0,3.0,3.0,4.0,3.0,3.2,2019-05-29 00:00:00, 서울 , 전직원 ,유통/무역 
17,엔지니어링 | 현직원 | 부산 | 2019/5/25,글로벌 제조사로 많은 것을 배울수 있는 회사이나 외국계의 한계가 있음,국내 완성차 회사로 많은 업무를 많이 배울수 있고 분위기가 외국계라서 좋음,부바부가 심하고 급여가 낮으며 최근 노조리스크가 심한 상태,,3.0,2.0,4.0,4.0,3.0,3.2,2019-05-25 00:00:00, 부산 , 현직원 ,엔지니어링 
18,유통/무역 | 전직원 | 부산 | 2019/5/18,외국계가 사람을 어떻게 대하는지 보여주는 회사 좋은 워라벨 하나 빼고는 좋은게 하나도 없음 연봉은 동종업계 최하위고 매년 일 잘하는 직원들은 모두 도망감  완성차도 나름이지 현기차같은 수준을 기대하면 안됨,여덜시 출근 다섯시 퇴근으로 야근이 없다 다만 모두 일을 제대로 안하니 업무진행이 잘안된다,동종업계 최하위 연봉 꼭 기억해라 월급에 개인연금과 점심식대 포함이다 매년 연봉 협상따위는 없다 매년동결 심지어 연봉이 상대적으로 더욱 줄어든다 프랑스 사장은 한국인의 복지는 관심이 없다,회사가 망해가고 있다는것을 알고 계시죠 누가 초래한 일인지 프랑스 사장이하 임원모두 각성하시길 바랍니다 프랑스회사 앞잡이 처럼 행동하는 인사팀은 더욱 대오각성해서 뼈를 깍는 노력 하시길 바랍니다,1.0,1.0,5.0,1.0,1.0,1.8,2019-05-18 00:00:00, 부산 , 전직원 ,유통/무역 
19,생산/제조 | 전직원 | 부산 | 2019/5/17,계약직은 사람 취급 못 받는다 정직원들 또한 마찬가지다 대기업이 아니다 절대로 추천하고 싶지 않다,그래도 대기업이라는 간판을 달고있다 최소한은 하는 기업인 거 같다 통근버스가 있다 오래걸리지만 추가 근무가 없다,껍데기만 대기업이다 장점이 없는거 같다 아무리 생각해도 없는거 같다 단점은 너무 많다 월급이 2교대 치고 너무 작다,외국계라서 너무 이익만 보려고 하는데 직원들을 좀 더 위하면 서로 윈윈하는 결과를 낼수 있지 않을까,1.0,2.0,2.0,3.0,1.0,1.8,2019-05-17 00:00:00, 부산 , 전직원 ,생산/제조 
20,생산/제조 | 전직원 | 부산 | 2019/5/8,이런 일도 있고 이런 회사도 있구나 경험만 해보시길,통근버스 있고 밥이 맛있다 대기업은 아니지만 대기업 다니는 느낌,일본 닉산의 영향을 받아 땅덩어리 좁은 대한민국에서 자동차 생산이 어려운 점을 고려 다른 회사는 한 라인에 한 종류의 차량을 생산하지만 르노는 한 라인에 6대 이상의 차를 생산하여 차 마다 일이 달라 처음 배울 때 고생이고 툴을 많이 쓰다보니 근골격계 질환에 노출되기 쉽고 타 자동차 회사에 비해 생산속도가 빨라 다른짓 절대 못함 불량나면 보고서 쓰고 골치 아픔 정규직 꿈도 꾸지 마라,,1.0,3.0,1.0,1.0,1.0,1.4,2019-05-08 00:00:00, 부산 , 전직원 ,생산/제조 
21,연구개발 | 현직원 | 경기 | 2019/5/6,자유로운 출퇴근 자유로운 기업 문화 헤아릴 수 없는 휴가 돈이 많다면 최고의 직장,자유로운 분위기와 기업 문화 그리고 아무도 눈치를 보지 않는 연차 사용 편하게 다닐 수 있는 점은 가히 국내 최고의 회사,낮은 급여로 모든 장점이 상쇄될 수 있다 물가 상승률을 따라가지 못하는 임금 상승률 해를 거듭할 수록 가족들에게 미안해진다,직원들을 위한 경영이 필요합니다 보여주기식은 그만하고 작은 도움이라도 직원들을 위한 경영이 필요합니다,2.0,3.0,5.0,5.0,2.0,3.4,2019-05-06 00:00:00, 경기 , 현직원 ,연구개발 
22,생산/제조 | 전직원 | 부산 | 2019/5/1,일하기 편리하고 개개인의 휴식이 보장되는곳,연차 반차등 눈치 없이 사용가능하며 쉬는시간과 일마친후 자유등 회식 강요일체 없습니다,월급이 생각보다 많이 짜며 일강도가 생각보다 높습니다 밥먹고난후의 시간이 너무 적다 소화가되기전에 일을 하는 느낌,지금처럼 꾸준하게 사원들의 건강관리에 힘을 더 써주셨으면 한다,3.0,3.0,5.0,5.0,4.0,4.0,2019-05-01 00:00:00, 부산 , 전직원 ,생산/제조 
23,경영/기획/컨설팅 | 현직원 | 서울 | 2019/4/27,외국계를 생각한다면 당장 도망가야할 회사 외국계스럽지않고 당장 하루하루의 계약 출고에 일희일비하며 모든 일은 단타성으로 매월 회사생존에만 달려있음 이제힘들어지면서 야근식대 법인카드사용도 다줄이는 어이없는회사 그래놓고 영업이익은계속나고 부채는 없음ㅋㅋㅋ,사이트마다 다르긴하나 위에서 쪼임이 커서 정치가 적다 위의 몇몇 리더들빼고는 사람들은 인간적인 편,위에 이미 많이써서 할말이 없을것 같았지만 업계 연봉최소 타결금작년부터 계속안나옴 부산공장 인사팀 부패가 정말 심함 성희롱문제부터 개인일에 인사팀원들동원한다던지,,2.0,2.0,3.0,3.0,2.0,2.4,2019-04-27 00:00:00, 서울 , 현직원 ,경영/기획/컨설팅 
24,연구개발 | 현직원 | 경기 | 2019/4/25,전형적인 외국계 한계가 있는회사 금전적으로 보상을 안 해줌,개인의 업무 진행 자유도가 높다 그에따라 리딩할 수가 있다 완성차 프로세스경험,금전적인 최적화가 심해 지속적인 성장이 힘들다 개발 차종이 한정적이며 결정권이 본사쪽에 대부분 있다,고생하는 임직원에게 금전적인 보상이 필요해 보인다,4.0,2.0,4.0,3.0,2.0,3.0,2019-04-25 00:00:00, 경기 , 현직원 ,연구개발 
25,미디어/홍보 | 전직원 | 서울 | 2019/4/24,한 사람의 말 한 마디에 본부원 전체가 죽어나감,강남 한복판에 있어 기자 미팅 다니기 좋음 건물 깔끔함,독재적 분위기 사소한 거 하나 결정하는 것도 다 본부장 지시 따라야 함업무 RR 정하는 것마저 그것도 기분 좋을 때 보고해야 먹힘 퇴근 후 주말에 업무 카톡 메일 보내는 걸 당연하게 생각함 본부장부터 이러니 팀에 워라밸 없음 과도한 문서 작업 모든 리절트를 본인 업적으로 포장하고자 리포트를 몇번씩 시킴 국문 버전 영문 버전 뭐만 따로 토할 것 같음 휴가 마음대로 절대 못 쓰고 휴가 가서도 모니터링 보도자료 배포 직접 해야 함 그래야 일 잘하는 줄 앎 자기한테 찍힌 애는 신혼여행도 제대로 못 감 회사에서 휴가 5일 주는데 이틀만 가게 하더니 결국 가서도 일하게 함 그 직원 결국 퇴사함 이런 식으로 한 명만 집중적으로 갈굼 본인 근태 엉망이면서 직원들은 퇴근도 마음대로 못 함 우린 다 일찍 제때 와서 일하는데 ,,2.0,1.0,1.0,1.0,1.0,1.2,2019-04-24 00:00:00, 서울 , 전직원 ,미디어/홍보 
