,info,title,advantage,drawback,opinion,promotion,welfaresalary,worklifebalance,culture,executives,total,date,region,workingstatus,department
0,서비스/고객지원 | 전직원 | 대구 | 2019/8/17,대구에서 이정도 월급주는곳이 잘 없음 근데 일이 정신적으로 빡시다,상여금 탄탄하고 육아휴직있고 연차 월차 좋고 퇴직금도있다,숙지해야할 업무내용이 정말 어마어마함 근데 계속 새로운게나옴 매달 매주 새로운걸 숙지해야함 일이많아 밀리고 밀린다,체계적으로 업무를 관리하고 해야할듯 특히 신입들은 좀더 잘 봐줘야되는데 답답하다는식으로 감정표출 자제좀,3.0,4.0,2.0,4.0,3.0,3.2,2019-08-17 00:00:00, 대구 , 전직원 ,서비스/고객지원 
1,경영/기획/컨설팅 | 현직원 | 서울 | 2019/8/5,국내 대기업 중에서는 연봉 복지 워라밸 고용안정성 문화 종합적으로 고려했을때 최고의 회사라고 생각함,자율출퇴근 최고의 워라밸 만족스러운 연봉과 안정성 훌륭한 문화 똑똑한 동료들,유연하지 못한 시스템과 잦은 조직개편으로 인한 불확실성 대기업으로서의 한계,없음,4.0,5.0,5.0,5.0,4.0,4.6,2019-08-05 00:00:00, 서울 , 현직원 ,경영/기획/컨설팅 
2,마케팅/시장조사 | 현직원 | 서울 | 2019/7/28,연봉과 복지가 좋지만 전문성을 키우긴 어려운 곳,워라밸과 기업문화를 긍정적으로 바뀌고자 꾸준히 노력하는 곳 대기업이다보니 속도가 느리고 한계점도 있지만 여러가지 제도화하려는 노력이 있다 연봉이 높고 복지가 정말 좋다 사내 직무 변경이 어렵지 않다,영끌 연봉이 높지만 여느 대기업이 그렇듯 기본급은 평이하다 전문가 보다는 제너럴리스트로 성장할 수 밖에 없는 곳 개인의 커리어는 그다지 고려해주지 않는다 마케팅 하던 사람이 hr로 이동하는게 전혀 이상하지 않은 곳,분야에 맞게 업무를 진짜 효율적이고 빠르게 할 수 있는 환경을 만들어줬으면 MNO 외 영역플랫폼 AI 등의 업무 방식도 MNO에 끼워넣다보니 비효적인 부분이 너무 많이 생긴다,3.0,5.0,4.0,3.0,4.0,3.8,2019-07-28 00:00:00, 서울 , 현직원 ,마케팅/시장조사 
3,서비스/고객지원 | 전직원 | 부산 | 2019/7/27,매일공부하는걸 당연하다고생각합니다 공부하는거 좋아하는 사람에게 맞는직장,복지가 좋아요 다른 기업보다는 급여가 높은편이에요 체계적으로 교육하고 동기가 많아서 좋고 통근버스도 있습니다,매일매일 고등학교 입시수준으로 공부해야합니다 매일시험치고 돈은 그냥 주는게 아니라는걸 알게됩니다 텃새가 아주심해요,사람은 기계가 아닙니다 사람을 기계로 생각하지 않았으면 합니다,2.0,4.0,1.0,1.0,1.0,1.8,2019-07-27 00:00:00, 부산 , 전직원 ,서비스/고객지원 
4,경영/기획/컨설팅 | 현직원 | 서울 | 2019/7/19,일하는 것 대비 돈 많이 주는 회사 그러나 대기업은 대기업,예전 같지는 않다고 하지만 확실한 캐시카우 및 그로 인한 안정성,코스트센터 조직들이 점점 득세하는 분위기 본사 Staff로 많이들 이동하고 싶어함 그로 인해 사업쪽신규 포함은 인력 부족 현상 항상 배가 불러왔기에 실적이 안 좋으면 어찌해야 할지 모르고 전전긍긍,,3.0,5.0,5.0,4.0,3.0,4.0,2019-07-19 00:00:00, 서울 , 현직원 ,경영/기획/컨설팅 
5,마케팅/시장조사 | 현직원 | 서울 | 2019/7/12,복지좋다 문화도 좋은편 규모가 크다는 장점,처우가 좋다 대체로 사람들이 여유가 있고 잘해줌 자율출근제라 언제든 출근 가능하다,재계약없음 약간의 차별이 견디기 힘들 때가 있다 잡일을 주로해서 발전없음,계약직한테 신경좀 써주시길 계약직도 차별없이 일할수있는 환경이길,4.0,5.0,5.0,5.0,3.0,4.4,2019-07-12 00:00:00, 서울 , 현직원 ,마케팅/시장조사 
6,서비스/고객지원 | 전직원 | 울산 | 2019/7/12,급여가 들쑥날쑥 판매건수 스트레스 너무많이받아요 정규직,꾸준히하면 나쁘지않아요 판매건수도 계속 늘리고 단골도 많으면 좋아요,판매 실적 스트레스 많이받아요 스트레스 받는분은 비추합니다,규칙이 너무 많이 생깁니다 복장이나 규제가 점점더 심해집니다,4.0,3.0,3.0,3.0,3.0,3.2,2019-07-12 00:00:00, 울산 , 전직원 ,서비스/고객지원 
7,금융/재무 | 전직원 | 서울 | 2019/7/11,수평적인 문화 업무워라벨이 좋음 평점이 높은 이유가 있음 분명히,연차를 윗사람눈치안보고 쓰는점 존중하려한다 주니어들을 막시키기보단 들으려는 자세가 보인다 직원들에게 더많은 혜택을 주려고한다,무기계약 개념이 없다 그래서 열심히 일할 목적도 업무를 하는데 있어서 뿌듯함을 느끼겨나 협업의 개념이 약하다,규정이지만 계약만료후 끝이라는게 씁슬하다,1.0,3.0,4.0,4.0,3.0,3.0,2019-07-11 00:00:00, 서울 , 전직원 ,금융/재무 
8,경영/기획/컨설팅 | 현직원 | 서울 | 2019/7/7,무덤 네트워크를 정부가 회수해가지 않는 이상 망하지도 않을거지만 앞으로 좋아질일도 없는 회사,전형적인 공기업 한전 하는일 대비 월급이 높고 임원들도 구성원도 조직개편이나 이동이 잦아 잘못 투자하고 망해도 별일없으며 히스토리도 관리가 안됨 전문가가 아니어도 행세가능 워라벨이 좋아 예측가능한 지속적 취미생활이 가능함,거의 450대 고인물 투성 유일한 매출원은 핸드폰요금이며 그외의 다른 사업들은 자리잡지못한데다 우왕좌왕해서 성과가 없음 개개인의 전문성은 찾아보기 힘들고 관심이나 의지도 없음 씨이오 성향에 따라 모든 내용들이 단순화되고있어 더더욱 깊이가 없어짐 하는일에 비해 사람은 많아서 정치가 횡행 보이지 않는 끈끈한 이너 써클로 인해 은근 폐쇄적임,,1.0,3.0,1.0,1.0,1.0,1.4,2019-07-07 00:00:00, 서울 , 현직원 ,경영/기획/컨설팅 
9,영업/제휴 | 전직원 | 서울 | 2019/7/7,상사운과 부서운만 좋으면 편하게 다닐 수 있는 회사,대기업이다보니 능력있는 상사들이 많다 물론 그렇지 못한 상사들도 있다 상사운만 따른다면 본인의 역량을 충분히 키울 수 있다 월급이 적지 않기 때문에 자취하지 않는다면 돈을 차곡차곡 모을 수 있다,보고를 위한 보고 및 문서 작업이 너무 많음 회사 어디나 마찬가지겠지만 사내 정치가 심하다 팀마다 다르지만 필자가 속한 팀은 불필요한 야근이 많았다 상사가 떡하니 일하고 있으니 저녁에 칼퇴하기가 쉽지 않았다,의미없는 회의 줄이기 위에서 지시사항을 내릴 때는 지시사항을 내리는 이유와 그걸 통해서 회사가 얻고자 하는걸 충분히 설명해주길 무턱대고 하라면 해 이런 태도 말고,3.0,4.0,3.0,3.0,3.0,3.2,2019-07-07 00:00:00, 서울 , 전직원 ,영업/제휴 
10,경영/기획/컨설팅 | 전직원 | 서울 | 2019/7/3,공무원처럼 편하게 일할 수 있으나 20년 후에도 같은 일을 할 곳,복지 좋고 현금이 많아 급할게 없음 놀면서 다닐 수 있는 곳,규제 산업이고 시장 포화되어 기회가 많이 없음 새로운 기술이나 환경에 대한 경영진들의 비전이 부족하고 또한 인력 구조상 그에 대응할 수 있는 조직을 만들기 어려움,,3.0,4.0,4.0,3.0,2.0,3.2,2019-07-03 00:00:00, 서울 , 전직원 ,경영/기획/컨설팅 
