,info,title,advantage,drawback,opinion,promotion,welfaresalary,worklifebalance,culture,executives,total,date,region,workingstatus,department
0,서비스/고객지원 | 전직원 | 서울 | 2019/8/27,직원들의 편의성을 제공하며 나름의 젊은 분위기의 직장 하지만 직무상 고객접점은 타 직종과 큰 차이점은 없음,자기시간을 자유롭게 사용가능 직원들간의 분위기는 좋은 편 다양한 문화행사 지원이 있음,고객접점 특성상 전화에 대한 스트레스 집중적으로 근무를 해야할 시간에 숨쉴틈이 없음,좀더 직원들을 지켜줄수 있는 회사가 되었으면 좋겠다고 생각합니다,3.0,3.0,4.0,4.0,3.0,3.4,2019-08-27 00:00:00, 서울 , 전직원 ,서비스/고객지원 
1,경영/기획/컨설팅 | 전직원 | 서울 | 2019/8/26,체계없이 굴러가는 곳 대표가 비전이 없고 능력도 없음,복지 좋은 편 정시퇴근도 비교적 가능 삼성역이랑 가까움,체계없이 굴러가고 그때그때 떼우는 형식으로 일처리 그게 쌓이다보니 효율적으로 일할 수 있는 구조를 만들기 어려움 대표가 줏대가 없어서 운영기조가 매번 바뀜 비전이 없고 눈앞만 보고 사는 시한부가 따로 없음 매번 바쁘게 굴러가는데 투자 대비 효율성 부족 사람 갈아넣어 굴러가는 회사,,3.0,4.0,4.0,2.0,1.0,2.8,2019-08-26 00:00:00, 서울 , 전직원 ,경영/기획/컨설팅 
2,IT/인터넷 | 현직원 | 서울 | 2019/8/25,개발직군은 워라벨 괜찮은 편 승진 기회 보상 연봉 인상폭은 낮은 편 복지는 야근에 대한 보상이 있고 자녀가 있는 분에게는 추가적인 혜택이 있음,야근 시에 수당 또는 대체 휴가가 있음 자녀가 있는 분은 미취학자녀 1인당 매월 20만원 상당의 육아비지원과 초등학교 입학 시 유급휴가 및 자녀 학용품 선물지급 자녀가 아플 때 최대 5일까지 자녀간호휴가를 쓸 수 있음,승진 기회나 연봉 인상폭이 낮음 기존 레거시 조직과 신규 서비스 조직의 주도권 경쟁이 있어서 협력이 잘 되지 않음 각 조직의 개발구축환경이 서로 다르기 때문에 개발자 입장에서는 은근히 스트레스 받음,회사의 비전과 목표 이를 위해 어떤 방향을 가지고 무슨 계획을 가지고 있는지 현재 상황은 어떠한지 등의 내용들이 직원들에게 자주 공유되었으면 합니다,2.0,4.0,4.0,2.0,3.0,3.0,2019-08-25 00:00:00, 서울 , 현직원 ,IT/인터넷 
3,영업/제휴 | 현직원 | 서울 | 2019/8/24,한국 이커머스 시장을 경험하고 싶고 성장속도를 느끼고 싶으면 추천,눈치 안보는 문화 하고 싶은 업무 안말림 구내식당 야근으로 인한 수당 휴무일 제공,업무 과중 전사 시스템 부족 구시대적 영업 문화 업무 매뉴얼이 없어 스스로 파악,치킨게임 종료는 없으니 남은 파이 잘 먹게해주세요 그리고 속도도 중요한데 안전도 중요해요,4.0,2.0,2.0,4.0,3.0,3.0,2019-08-24 00:00:00, 서울 , 현직원 ,영업/제휴 
4,유통/무역 | 전직원 | 서울 | 2019/8/23,경력상으론 좋은 경험과 다양한 사람을 만날 수 있었지만 크게 성장하려면 본인의 노력이 요구되는 곳,신속한 업무 프로세스로 대응이 빠름 유통 분야에서 나름 상위권,불필요한 업무들이 과다 탑다운방식 업무로 스트레스를 받을 수 있음,잦은 목표 변경이 아닌 모두가 이해하고 인정할만한 목표를 전달주세요,3.0,4.0,2.0,2.0,1.0,2.4,2019-08-23 00:00:00, 서울 , 전직원 ,유통/무역 
5,영업/제휴 | 전직원 | 서울 | 2019/8/19,텔레마케터인지 엠디인지 모르겠는 곳입니다,복지 굿 자기 일 잘하면 퇴근 굿 식당 있음 에어컨 있음 회사 큼 위치 좋음 착한 사람들 많음 정수기 있음,회사 구조가 소셜답게 기형적 종합전문몰브랜드출신 경력자는 적응 힘들듯 아웃바운드 광고영업 잘하는사람은 잘맞을듯,딱히 없습니다 다니던 분들한테 잘해주시길,1.0,1.0,3.0,3.0,1.0,1.8,2019-08-19 00:00:00, 서울 , 전직원 ,영업/제휴 
6,영업/제휴 | 전직원 | 서울 | 2019/8/18,한국 온라인핫딜을 위해선 엠디가 가격을만드는 경험하기좋았던곳 그치만 내삶이없는곳,매출이크고 자본금이탄탄해서 도전적인 것들을 잘구현해줬던곳,야근 야근그리고 광고비광고비  온라인MD가 상품기획이아닌 광고비로 스트레스받는곳,광고비는 별도팀이 운영하는곳으로하시고 저녁있는 삶좀주세요,3.0,3.0,2.0,3.0,3.0,2.8,2019-08-18 00:00:00, 서울 , 전직원 ,영업/제휴 
7,디자인 | 현직원 | 서울 | 2019/8/14,당장의 큰비전은 크게 안보이지만 커머스나 유통을 경험하고싶다면 좋은곳이다 다만 연봉은 낮음,연차 비교적 자유롭게 사용 가능 조직마다 분위기 다르긴하지만 유연한편 야근을 강조하지않음피씨오프제시행 네임벨류 나쁘진않음,연봉이 적음정말 사람들의 위메프 인식보다 상상이상으로 적음 1500명이 넘는 회사치고 제도등이 완성되지 못한느낌대기업의 좋은문화를 흡수하려고 노력하지만 아직 미완성인 스타트업 태생의 문화가 남아있음,1500명의 임직원을 보유한 회사 규모만큼 연봉제도문화 복지 등 대기업군과 엇비슷하게라도 맞춰주세요 화이팅,2.0,2.0,4.0,4.0,2.0,2.8,2019-08-14 00:00:00, 서울 , 현직원 ,디자인 
8,디자인 | 전직원 | 서울 | 2019/8/13,영업직 외 지원부서의 대우가 현저히 낮은 편 다음 해를 기약하며 매년 희망고문하는 게 사내 모토 짜디짠 연봉을 \평타\라고 치부하는 자만심까지,짧은 시간 내 무한에 가까운 영업 능력을 갖출 수 있으나 그마저도 라인타기에 집중하면 물거품 신입사원이 인생의 워라밸 지침을 수립할 수 있는 적절한 계기가 될 듯,자기계발을 위해 업무에 열성인 사람들과 적절히 회사 눈치봐가며 꼼수부리는 월급 루팡들의 대조가 심한 편 주로 위로 올라갈 수록 회사에 만연한 S대 라인이 확고해 도저히 젊은기업이라고 할 수 없는 수준,블라인드에 올라오는 불만 및 개선방향을 모두 알고 있으면서도 몇년째 무시 아예 남의 나라 소설집처럼 구독만 하고 좋아요 공감할 생각은 없으니 설립 10년도 안된 회사의 모습이라기엔 믿기 힘들 지경,4.0,1.0,1.0,1.0,1.0,1.6,2019-08-13 00:00:00, 서울 , 전직원 ,디자인 
9,IT/인터넷 | 전직원 | 서울 | 2019/8/9,사회생활을 많이 해보진 않았지만 지금까지 사회생활 했던 곳들 중에 가장 만족스러운 회사,같이 일하는 분들 모두 친절하다 인간관계로 스트레스 받아본 적 없다 업무 분담이 잘 되어있다,개인 노트북을 사용하는데 와이파이가 갑자기 안될 때가 꽤 있어서 핫스팟으로 일하면서 기다린다 와이파이 때문에 별 하나 뺐다,와이파이 사용 신청서를 쓰고 PC를 등록했는데도 안터질 때가 많습니다,5.0,5.0,5.0,5.0,5.0,5.0,2019-08-09 00:00:00, 서울 , 전직원 ,IT/인터넷 
10,경영/기획/컨설팅 | 전직원 | 서울 | 2019/8/8,항상바쁜곳입니다 항상정신없는곳입니다 항상실적이중요한곳입니다,많은일을 경험할수있습니다 단기간에 커리어에 여러가지 업무를 추가할수있습니다,체계적으로 정리를 원한다면 다른곳을 지원하기바랍니다 이커머스인지 유통인지 구분불가,사람을 사람으로 여겨주길 직원이 발전해야 회사도 발전할수있음,2.0,2.0,2.0,2.0,1.0,1.8,2019-08-08 00:00:00, 서울 , 전직원 ,경영/기획/컨설팅 
